id_venta,fecha,id_sucursal,id_platillo,cantidad,monto_total,metodo_pago
64,2025-07-02,5,113,3,255,App Movil
65,2025-07-02,5,112,2,160,App Movil
66,2025-07-03,1,104,1,140,Tarjeta
67,2025-07-03,1,103,1,85,Tarjeta
68,2025-07-03,1,118,1,40,App Movil
69,2025-07-03,1,101,1,95,App Movil
70,2025-07-03,1,102,1,110,Tarjeta
71,2025-07-03,2,111,1,75,App Movil
72,2025-07-03,2,109,3,480,Efectivo
73,2025-07-03,3,118,1,40,App Movil
74,2025-07-03,3,116,1,130,Efectivo
75,2025-07-03,3,114,1,45,Tarjeta
76,2025-07-03,3,104,3,420,Efectivo
77,2025-07-03,4,114,2,90,Efectivo
78,2025-07-03,4,102,3,330,App Movil
79,2025-07-03,4,104,1,140,Efectivo
80,2025-07-03,4,111,1,75,Tarjeta
81,2025-07-03,4,107,1,175,App Movil
82,2025-07-03,5,105,2,300,Tarjeta
83,2025-07-03,5,109,2,320,Tarjeta
84,2025-07-03,5,103,2,170,App Movil
85,2025-07-03,5,104,1,140,App Movil
86,2025-07-03,5,118,1,40,Tarjeta
87,2025-07-04,1,114,2,90,Efectivo
88,2025-07-04,1,107,2,350,Tarjeta
89,2025-07-04,1,106,2,380,Tarjeta
90,2025-07-04,1,113,1,85,Efectivo
91,2025-07-04,2,114,3,135,App Movil
92,2025-07-04,2,118,3,120,App Movil
93,2025-07-04,2,116,1,130,Tarjeta
94,2025-07-04,2,110,1,90,Tarjeta
95,2025-07-04,2,118,1,40,App Movil
96,2025-07-04,3,102,1,110,App Movil
97,2025-07-04,3,116,2,260,App Movil
98,2025-07-04,3,106,1,190,App Movil
99,2025-07-04,3,103,1,85,Tarjeta
100,2025-07-04,3,103,3,255,Tarjeta
101,2025-07-04,4,104,2,280,Tarjeta
102,2025-07-04,4,102,2,220,Tarjeta
103,2025-07-04,4,114,3,135,App Movil
104,2025-07-04,4,117,1,50,Efectivo
105,2025-07-04,4,107,3,525,App Movil
106,2025-07-04,4,111,1,75,Efectivo
107,2025-07-04,5,105,3,450,App Movil
108,2025-07-04,5,110,2,180,Efectivo
109,2025-07-04,5,103,1,85,Efectivo
110,2025-07-04,5,104,1,140,App Movil
111,2025-07-04,5,107,2,350,Efectivo
112,2025-07-04,5,105,1,150,Tarjeta
113,2025-07-05,1,112,1,80,Tarjeta
114,2025-07-05,1,115,2,190,App Movil
115,2025-07-05,1,110,2,180,App Movil
116,2025-07-05,1,117,1,50,App Movil
117,2025-07-05,2,118,1,40,App Movil
118,2025-07-05,2,104,1,140,Efectivo
119,2025-07-05,2,104,1,140,App Movil
120,2025-07-05,2,118,1,40,Efectivo
121,2025-07-05,2,110,2,180,Tarjeta
122,2025-07-05,2,111,1,75,App Movil
123,2025-07-05,2,109,2,320,Efectivo
124,2025-07-05,2,109,1,160,Tarjeta
125,2025-07-05,2,114,1,45,Tarjeta
126,2025-07-05,3,111,1,75,App Movil
127,2025-07-05,3,109,1,160,App Movil
128,2025-07-05,3,115,2,190,App Movil
129,2025-07-05,4,118,1,40,Tarjeta
130,2025-07-05,4,103,3,255,Tarjeta
131,2025-07-05,4,118,1,40,Efectivo
132,2025-07-05,4,118,1,40,Efectivo
133,2025-07-05,4,105,1,150,Efectivo
134,2025-07-05,4,112,1,80,Efectivo
135,2025-07-05,5,104,1,140,App Movil
136,2025-07-05,5,114,2,90,App Movil
137,2025-07-05,5,105,1,150,Tarjeta
138,2025-07-06,1,106,2,380,Tarjeta
139,2025-07-06,1,106,3,570,Efectivo
140,2025-07-06,1,114,3,135,App Movil
141,2025-07-06,1,109,1,160,App Movil
142,2025-07-06,1,104,2,280,Tarjeta
143,2025-07-06,1,116,1,130,Tarjeta
144,2025-07-06,1,115,1,95,Efectivo
145,2025-07-06,2,101,3,285,Tarjeta
146,2025-07-06,2,113,1,85,Efectivo
147,2025-07-06,2,103,1,85,Efectivo
148,2025-07-06,2,117,2,100,App Movil
149,2025-07-06,3,118,1,40,Tarjeta
150,2025-07-06,3,104,1,140,Tarjeta
151,2025-07-06,3,109,1,160,Tarjeta
152,2025-07-06,3,114,1,45,App Movil
153,2025-07-06,3,111,2,150,App Movil
154,2025-07-06,3,117,1,50,Efectivo
155,2025-07-06,3,107,1,175,Tarjeta
156,2025-07-06,3,114,1,45,App Movil
157,2025-07-06,3,118,3,120,App Movil
158,2025-07-06,4,107,1,175,Efectivo
159,2025-07-06,4,103,3,255,Efectivo
160,2025-07-06,4,111,3,225,Tarjeta
161,2025-07-06,4,110,2,180,Efectivo
162,2025-07-06,4,114,1,45,Efectivo
163,2025-07-06,4,110,2,180,Tarjeta
164,2025-07-06,4,107,2,350,App Movil
165,2025-07-06,4,113,3,255,App Movil
166,2025-07-06,5,110,2,180,App Movil
167,2025-07-06,5,101,1,95,Efectivo
168,2025-07-06,5,107,2,350,App Movil
169,2025-07-06,5,111,2,150,Efectivo
170,2025-07-07,1,107,2,350,Efectivo
171,2025-07-07,1,106,3,570,Tarjeta
172,2025-07-07,1,110,2,180,App Movil
173,2025-07-07,1,111,1,75,Tarjeta
174,2025-07-07,1,110,1,90,Tarjeta
175,2025-07-07,1,105,1,150,Tarjeta
176,2025-07-07,2,116,2,260,Tarjeta
177,2025-07-07,2,115,2,190,App Movil
178,2025-07-07,2,107,3,525,App Movil
179,2025-07-07,2,113,2,170,Efectivo
180,2025-07-07,3,105,3,450,App Movil
181,2025-07-07,3,101,1,95,Efectivo
182,2025-07-07,3,106,3,570,App Movil
183,2025-07-07,4,102,2,220,Tarjeta
184,2025-07-07,4,104,2,280,Tarjeta
185,2025-07-07,4,115,3,285,App Movil
186,2025-07-07,4,118,2,80,Efectivo
187,2025-07-07,4,115,2,190,App Movil
188,2025-07-07,4,117,2,100,App Movil
189,2025-07-07,5,106,3,570,Efectivo
190,2025-07-07,5,115,1,95,Tarjeta
191,2025-07-07,5,109,2,320,Efectivo
192,2025-07-07,5,109,2,320,Tarjeta
193,2025-07-07,5,110,1,90,Efectivo
194,2025-07-08,1,111,2,150,Tarjeta
195,2025-07-08,1,105,1,150,Tarjeta
196,2025-07-08,1,113,3,255,Tarjeta
197,2025-07-08,1,107,1,175,Efectivo
198,2025-07-08,1,114,1,45,App Movil
199,2025-07-08,2,114,1,45,Tarjeta
200,2025-07-08,2,114,2,90,App Movil
201,2025-07-08,2,101,2,190,Efectivo
202,2025-07-08,2,116,1,130,Efectivo
203,2025-07-08,2,110,2,180,Efectivo
204,2025-07-08,2,118,3,120,App Movil
205,2025-07-08,3,116,1,130,Efectivo
206,2025-07-08,3,114,2,90,Tarjeta
207,2025-07-08,3,113,1,85,App Movil
208,2025-07-08,3,113,3,255,Tarjeta
209,2025-07-08,3,115,1,95,App Movil
210,2025-07-08,3,118,1,40,Efectivo
211,2025-07-08,4,101,1,95,App Movil
212,2025-07-08,4,114,1,45,Efectivo
213,2025-07-08,4,106,1,190,Efectivo
214,2025-07-08,4,113,1,85,Tarjeta
215,2025-07-08,4,115,1,95,Efectivo
216,2025-07-08,4,113,1,85,Efectivo
217,2025-07-08,4,109,1,160,Efectivo
218,2025-07-08,5,118,1,40,Efectivo
219,2025-07-08,5,103,3,255,Tarjeta
220,2025-07-09,1,101,1,95,Tarjeta
221,2025-07-09,1,101,2,190,Tarjeta
222,2025-07-09,1,105,2,300,App Movil
223,2025-07-09,1,104,2,280,Tarjeta
224,2025-07-09,1,115,3,285,Efectivo
225,2025-07-09,1,112,1,80,App Movil
226,2025-07-09,1,104,1,140,Efectivo
227,2025-07-09,1,104,2,280,Tarjeta
228,2025-07-09,2,113,2,170,App Movil
229,2025-07-09,2,107,1,175,App Movil
230,2025-07-09,2,104,3,420,Efectivo
231,2025-07-09,2,104,2,280,Tarjeta
232,2025-07-09,3,118,2,80,App Movil
233,2025-07-09,3,112,1,80,App Movil
234,2025-07-09,3,111,1,75,Efectivo
235,2025-07-09,3,116,1,130,Efectivo
236,2025-07-09,3,112,3,240,Efectivo
237,2025-07-09,4,105,2,300,Tarjeta
238,2025-07-09,4,117,3,150,Efectivo
239,2025-07-09,4,118,2,80,Efectivo
240,2025-07-09,4,114,3,135,App Movil
241,2025-07-09,4,109,1,160,Tarjeta
242,2025-07-09,4,103,1,85,Efectivo
243,2025-07-09,4,115,2,190,App Movil
244,2025-07-09,5,113,1,85,Tarjeta
245,2025-07-09,5,116,1,130,Tarjeta
246,2025-07-09,5,116,1,130,Efectivo
247,2025-07-09,5,109,1,160,Efectivo
248,2025-07-09,5,109,2,320,Tarjeta
249,2025-07-09,5,117,1,50,Tarjeta
250,2025-07-09,5,114,2,90,App Movil
251,2025-07-10,1,116,3,390,App Movil
252,2025-07-10,1,116,2,260,Tarjeta
253,2025-07-10,1,103,1,85,Tarjeta
254,2025-07-10,1,113,3,255,Tarjeta
255,2025-07-10,1,110,3,270,App Movil
256,2025-07-10,1,112,2,160,App Movil
257,2025-07-10,1,117,1,50,Efectivo
258,2025-07-10,1,118,1,40,Efectivo
259,2025-07-10,2,115,1,95,Efectivo
260,2025-07-10,2,109,1,160,Tarjeta
261,2025-07-10,2,107,1,175,Tarjeta
262,2025-07-10,2,118,3,120,Tarjeta
263,2025-07-10,2,107,1,175,App Movil
264,2025-07-10,2,116,1,130,App Movil
265,2025-07-10,2,117,2,100,Efectivo
266,2025-07-10,2,104,1,140,Efectivo
267,2025-07-10,3,112,1,80,Efectivo
268,2025-07-10,3,101,3,285,App Movil
269,2025-07-10,3,105,1,150,Tarjeta
270,2025-07-10,3,102,2,220,Efectivo
271,2025-07-10,4,105,3,450,Efectivo
272,2025-07-10,4,104,1,140,App Movil
273,2025-07-10,4,110,2,180,Efectivo
274,2025-07-10,4,115,1,95,Tarjeta
275,2025-07-10,4,102,1,110,Efectivo
276,2025-07-10,4,104,1,140,Efectivo
277,2025-07-10,4,116,1,130,App Movil
278,2025-07-10,4,102,1,110,Tarjeta
279,2025-07-10,5,110,1,90,Tarjeta
280,2025-07-10,5,104,2,280,Efectivo
281,2025-07-10,5,117,2,100,Efectivo
282,2025-07-10,5,115,1,95,App Movil
283,2025-07-10,5,114,1,45,App Movil
284,2025-07-10,5,102,2,220,App Movil
285,2025-07-10,5,104,1,140,App Movil
286,2025-07-10,5,107,1,175,App Movil
287,2025-07-11,1,106,1,190,Tarjeta
288,2025-07-11,1,118,1,40,Tarjeta
289,2025-07-11,1,101,2,190,Efectivo
290,2025-07-11,2,116,1,130,Tarjeta
291,2025-07-11,2,110,3,270,Efectivo
292,2025-07-11,2,115,1,95,App Movil
293,2025-07-11,2,109,3,480,App Movil
294,2025-07-11,2,107,2,350,Tarjeta
295,2025-07-11,2,118,1,40,App Movil
296,2025-07-11,3,109,1,160,Tarjeta
297,2025-07-11,3,102,1,110,Efectivo
298,2025-07-11,3,110,2,180,Tarjeta
299,2025-07-11,3,115,3,285,Efectivo
300,2025-07-11,4,113,1,85,App Movil
301,2025-07-11,4,118,2,80,Efectivo
302,2025-07-11,4,103,2,170,Tarjeta
303,2025-07-11,4,114,3,135,Efectivo
304,2025-07-11,4,109,1,160,Tarjeta
305,2025-07-11,4,101,3,285,Efectivo
306,2025-07-11,4,102,1,110,Efectivo
307,2025-07-11,5,115,1,95,Tarjeta
308,2025-07-11,5,114,3,135,Efectivo
309,2025-07-11,5,103,2,170,Efectivo
310,2025-07-11,5,114,1,45,Efectivo
311,2025-07-11,5,104,1,140,Efectivo
312,2025-07-11,5,114,3,135,Efectivo
313,2025-07-11,5,110,3,270,Efectivo
314,2025-07-12,1,118,1,40,Efectivo
315,2025-07-12,1,103,1,85,Efectivo
316,2025-07-12,1,111,1,75,Efectivo
317,2025-07-12,1,117,1,50,App Movil
318,2025-07-12,1,118,2,80,Efectivo
319,2025-07-12,1,102,1,110,App Movil
320,2025-07-12,1,112,2,160,Efectivo
321,2025-07-12,1,115,1,95,Tarjeta
322,2025-07-12,1,109,2,320,Tarjeta
323,2025-07-12,2,115,3,285,Efectivo
324,2025-07-12,2,104,1,140,App Movil
325,2025-07-12,2,106,1,190,App Movil
326,2025-07-12,2,101,2,190,Efectivo
327,2025-07-12,3,104,2,280,Tarjeta
328,2025-07-12,3,105,2,300,App Movil
329,2025-07-12,4,117,3,150,Efectivo
330,2025-07-12,4,114,2,90,Efectivo
331,2025-07-12,4,115,2,190,Tarjeta
332,2025-07-12,4,113,1,85,App Movil
333,2025-07-12,5,105,1,150,Efectivo
334,2025-07-12,5,114,1,45,App Movil
335,2025-07-12,5,109,1,160,Efectivo
336,2025-07-12,5,110,2,180,App Movil
337,2025-07-12,5,116,1,130,Efectivo
338,2025-07-12,5,118,2,80,Efectivo
339,2025-07-12,5,111,2,150,App Movil
340,2025-07-13,1,115,1,95,Tarjeta
341,2025-07-13,1,113,1,85,Efectivo
342,2025-07-13,1,102,1,110,App Movil
343,2025-07-13,1,116,3,390,Efectivo
344,2025-07-13,1,113,3,255,App Movil
345,2025-07-13,2,116,1,130,Tarjeta
346,2025-07-13,2,117,2,100,Efectivo
347,2025-07-13,2,104,2,280,Tarjeta
348,2025-07-13,2,117,2,100,Tarjeta
349,2025-07-13,3,105,2,300,App Movil
350,2025-07-13,3,105,1,150,Efectivo
351,2025-07-13,3,109,1,160,App Movil
352,2025-07-13,3,113,3,255,Tarjeta
353,2025-07-13,3,111,3,225,App Movil
354,2025-07-13,3,113,1,85,App Movil
355,2025-07-13,3,116,2,260,Tarjeta
356,2025-07-13,3,103,1,85,App Movil
357,2025-07-13,4,110,1,90,App Movil
358,2025-07-13,4,103,2,170,Tarjeta
359,2025-07-13,4,104,2,280,Tarjeta
360,2025-07-13,4,110,1,90,Tarjeta
361,2025-07-13,4,111,1,75,Efectivo
362,2025-07-13,4,112,1,80,Efectivo
363,2025-07-13,4,105,1,150,App Movil
364,2025-07-13,4,114,2,90,App Movil
365,2025-07-13,5,106,1,190,Tarjeta
366,2025-07-13,5,103,2,170,Efectivo
367,2025-07-13,5,116,2,260,Tarjeta
368,2025-07-13,5,115,3,285,Efectivo
369,2025-07-13,5,115,1,95,App Movil
370,2025-07-13,5,101,2,190,Efectivo
371,2025-07-13,5,118,1,40,Tarjeta
372,2025-07-14,1,112,2,160,Efectivo
373,2025-07-14,1,114,3,135,Efectivo
374,2025-07-14,1,115,1,95,Tarjeta
375,2025-07-14,1,113,2,170,Tarjeta
376,2025-07-14,1,113,2,170,Efectivo
377,2025-07-14,2,110,3,270,Efectivo
378,2025-07-14,2,101,3,285,Efectivo
379,2025-07-14,2,109,1,160,App Movil
380,2025-07-14,2,102,2,220,App Movil
381,2025-07-14,2,116,1,130,Tarjeta
382,2025-07-14,2,112,1,80,App Movil
383,2025-07-14,2,107,2,350,Efectivo
384,2025-07-14,3,105,3,450,Tarjeta
385,2025-07-14,3,102,1,110,Efectivo
386,2025-07-14,3,102,2,220,Efectivo
387,2025-07-14,3,105,1,150,Efectivo
388,2025-07-14,3,111,3,225,Efectivo
389,2025-07-14,3,106,1,190,Tarjeta
390,2025-07-14,3,118,1,40,App Movil
391,2025-07-14,3,117,1,50,Tarjeta
392,2025-07-14,4,116,1,130,App Movil
393,2025-07-14,4,111,1,75,Efectivo
394,2025-07-14,4,103,1,85,Tarjeta
395,2025-07-14,4,113,2,170,Efectivo
396,2025-07-14,4,103,2,170,Tarjeta
397,2025-07-14,5,118,1,40,Efectivo
398,2025-07-14,5,112,3,240,App Movil
399,2025-07-14,5,109,2,320,Efectivo
400,2025-07-14,5,112,1,80,App Movil
401,2025-07-15,1,101,2,190,App Movil
402,2025-07-15,1,111,2,150,Tarjeta
403,2025-07-15,1,103,3,255,Efectivo
404,2025-07-15,1,110,3,270,Efectivo
405,2025-07-15,1,104,1,140,Tarjeta
406,2025-07-15,1,102,1,110,Efectivo
407,2025-07-15,2,104,1,140,App Movil
408,2025-07-15,2,105,2,300,Efectivo
409,2025-07-15,2,112,3,240,App Movil
410,2025-07-15,3,118,2,80,App Movil
411,2025-07-15,3,105,2,300,App Movil
412,2025-07-15,3,104,2,280,App Movil
413,2025-07-15,3,114,1,45,Tarjeta
414,2025-07-15,3,112,1,80,Efectivo
415,2025-07-15,3,115,1,95,Efectivo
416,2025-07-15,3,104,3,420,Efectivo
417,2025-07-15,3,118,3,120,Efectivo
418,2025-07-15,4,113,1,85,Tarjeta
419,2025-07-15,4,104,2,280,Tarjeta
420,2025-07-15,4,107,3,525,App Movil
421,2025-07-15,5,101,1,95,Efectivo
422,2025-07-15,5,105,2,300,Tarjeta
423,2025-07-15,5,103,2,170,Tarjeta
424,2025-07-15,5,107,1,175,Efectivo
425,2025-07-15,5,105,2,300,Tarjeta
426,2025-07-15,5,109,1,160,Tarjeta
427,2025-07-16,1,109,1,160,Tarjeta
428,2025-07-16,1,101,1,95,Tarjeta
429,2025-07-16,1,112,1,80,App Movil
430,2025-07-16,1,111,1,75,Tarjeta
431,2025-07-16,1,109,1,160,Tarjeta
432,2025-07-16,1,114,2,90,Tarjeta
433,2025-07-16,1,103,2,170,Efectivo
434,2025-07-16,2,112,2,160,App Movil
435,2025-07-16,2,104,2,280,App Movil
436,2025-07-16,2,102,3,330,App Movil
437,2025-07-16,2,117,1,50,Efectivo
438,2025-07-16,2,101,1,95,Efectivo
439,2025-07-16,2,113,2,170,App Movil
440,2025-07-16,2,104,2,280,App Movil
441,2025-07-16,2,115,1,95,Tarjeta
442,2025-07-16,3,105,1,150,Tarjeta
443,2025-07-16,3,109,2,320,App Movil
444,2025-07-16,3,118,3,120,Efectivo
445,2025-07-16,3,113,2,170,App Movil
446,2025-07-16,3,110,2,180,App Movil
447,2025-07-16,4,114,1,45,App Movil
448,2025-07-16,4,104,3,420,App Movil
449,2025-07-16,4,118,3,120,Tarjeta
450,2025-07-16,4,114,2,90,Tarjeta
451,2025-07-16,4,114,1,45,Efectivo
452,2025-07-16,4,113,2,170,App Movil
453,2025-07-16,4,104,1,140,Efectivo
454,2025-07-16,5,109,1,160,Tarjeta
455,2025-07-16,5,116,1,130,Tarjeta
456,2025-07-16,5,103,1,85,Efectivo
457,2025-07-16,5,104,3,420,App Movil
458,2025-07-16,5,112,1,80,App Movil
459,2025-07-17,1,118,2,80,Efectivo
460,2025-07-17,1,104,2,280,Efectivo
461,2025-07-17,1,114,3,135,Tarjeta
462,2025-07-17,2,110,1,90,Tarjeta
463,2025-07-17,2,117,1,50,Tarjeta
464,2025-07-17,2,116,1,130,Tarjeta
465,2025-07-17,2,112,2,160,Efectivo
466,2025-07-17,2,104,1,140,App Movil
467,2025-07-17,3,114,2,90,App Movil
468,2025-07-17,3,118,1,40,App Movil
469,2025-07-17,3,109,1,160,Tarjeta
470,2025-07-17,3,109,3,480,Efectivo
471,2025-07-17,4,112,1,80,Tarjeta
472,2025-07-17,4,105,2,300,App Movil
473,2025-07-17,4,113,1,85,Tarjeta
474,2025-07-17,4,101,1,95,App Movil
475,2025-07-17,4,117,1,50,Efectivo
476,2025-07-17,5,115,1,95,Tarjeta
477,2025-07-17,5,112,1,80,App Movil
478,2025-07-17,5,111,2,150,App Movil
479,2025-07-17,5,103,1,85,Tarjeta
480,2025-07-17,5,106,2,380,Tarjeta
481,2025-07-17,5,103,1,85,Efectivo
482,2025-07-18,1,114,2,90,App Movil
483,2025-07-18,1,115,2,190,Efectivo
484,2025-07-18,1,107,2,350,Tarjeta
485,2025-07-18,1,112,2,160,Tarjeta
486,2025-07-18,1,110,3,270,App Movil
487,2025-07-18,1,116,2,260,App Movil
488,2025-07-18,1,110,1,90,Tarjeta
489,2025-07-18,1,113,2,170,Tarjeta
490,2025-07-18,2,107,1,175,Tarjeta
491,2025-07-18,2,105,1,150,Efectivo
492,2025-07-18,2,111,1,75,Tarjeta
493,2025-07-18,3,114,1,45,Tarjeta
494,2025-07-18,3,113,2,170,App Movil
495,2025-07-18,3,117,2,100,App Movil
496,2025-07-18,3,112,1,80,Efectivo
497,2025-07-18,3,102,2,220,Tarjeta
498,2025-07-18,4,103,1,85,App Movil
499,2025-07-18,4,114,2,90,Efectivo
500,2025-07-18,4,114,1,45,Tarjeta
501,2025-07-18,4,113,1,85,Efectivo
502,2025-07-18,4,106,2,380,Efectivo
503,2025-07-18,4,112,1,80,Efectivo
504,2025-07-18,5,104,1,140,Efectivo
505,2025-07-18,5,113,2,170,Tarjeta
506,2025-07-18,5,113,1,85,App Movil
507,2025-07-18,5,111,1,75,Efectivo
508,2025-07-18,5,106,1,190,App Movil
509,2025-07-18,5,104,2,280,App Movil
510,2025-07-18,5,107,1,175,Efectivo
511,2025-07-18,5,105,1,150,Tarjeta
512,2025-07-18,5,105,1,150,Tarjeta
513,2025-07-19,1,105,3,450,Tarjeta
514,2025-07-19,1,106,3,570,Efectivo
515,2025-07-19,1,115,2,190,App Movil
516,2025-07-19,1,115,3,285,App Movil
517,2025-07-19,2,111,3,225,Efectivo
518,2025-07-19,2,105,2,300,Tarjeta
519,2025-07-19,2,116,2,260,App Movil
520,2025-07-19,2,110,1,90,App Movil
521,2025-07-19,2,102,1,110,App Movil
522,2025-07-19,2,103,1,85,Efectivo
523,2025-07-19,2,115,1,95,Tarjeta
524,2025-07-19,2,112,1,80,Tarjeta
525,2025-07-19,3,103,2,170,App Movil
526,2025-07-19,3,117,2,100,Efectivo
527,2025-07-19,3,118,3,120,Tarjeta
528,2025-07-19,3,115,2,190,App Movil
529,2025-07-19,3,107,1,175,App Movil
530,2025-07-19,3,116,2,260,Tarjeta
531,2025-07-19,3,102,2,220,Tarjeta
532,2025-07-19,3,111,3,225,Tarjeta
533,2025-07-19,4,106,1,190,Tarjeta
534,2025-07-19,4,115,2,190,App Movil
535,2025-07-19,4,117,2,100,Tarjeta
536,2025-07-19,4,112,1,80,Efectivo
537,2025-07-19,4,113,2,170,Efectivo
538,2025-07-19,4,102,3,330,App Movil
539,2025-07-19,4,111,1,75,Efectivo
540,2025-07-19,5,118,3,120,Efectivo
541,2025-07-19,5,110,1,90,App Movil
542,2025-07-19,5,105,1,150,Tarjeta
543,2025-07-20,1,105,1,150,Efectivo
544,2025-07-20,1,113,1,85,App Movil
545,2025-07-20,1,103,1,85,App Movil
546,2025-07-20,1,113,3,255,Efectivo
547,2025-07-20,1,105,3,450,App Movil
548,2025-07-20,1,117,1,50,App Movil
549,2025-07-20,1,114,2,90,Efectivo
550,2025-07-20,2,112,1,80,Tarjeta
551,2025-07-20,2,107,1,175,Efectivo
552,2025-07-20,2,107,1,175,Tarjeta
553,2025-07-20,3,103,1,85,Tarjeta
554,2025-07-20,3,117,2,100,App Movil
555,2025-07-20,3,117,1,50,App Movil
556,2025-07-20,3,111,2,150,Tarjeta
557,2025-07-20,4,113,1,85,Tarjeta
558,2025-07-20,4,106,3,570,App Movil
559,2025-07-20,4,106,3,570,Efectivo
560,2025-07-20,4,102,2,220,Efectivo
561,2025-07-20,4,115,2,190,Efectivo
562,2025-07-20,4,115,1,95,App Movil
563,2025-07-20,5,110,2,180,Tarjeta
564,2025-07-20,5,112,3,240,App Movil
565,2025-07-20,5,115,2,190,Efectivo
566,2025-07-20,5,113,2,170,App Movil
567,2025-07-21,1,106,1,190,App Movil
568,2025-07-21,1,105,1,150,Tarjeta
569,2025-07-21,1,116,1,130,App Movil
570,2025-07-21,1,104,3,420,App Movil
571,2025-07-21,1,104,1,140,Tarjeta
572,2025-07-21,1,106,1,190,Efectivo
573,2025-07-21,2,105,2,300,Tarjeta
574,2025-07-21,2,115,1,95,Tarjeta
575,2025-07-21,2,114,1,45,Efectivo
576,2025-07-21,2,117,1,50,Tarjeta
577,2025-07-21,2,113,1,85,Efectivo
578,2025-07-21,3,111,1,75,App Movil
579,2025-07-21,3,111,1,75,Tarjeta
580,2025-07-21,3,102,1,110,Efectivo
581,2025-07-21,4,105,3,450,Efectivo
582,2025-07-21,4,115,2,190,Tarjeta
583,2025-07-21,4,103,1,85,Efectivo
584,2025-07-21,4,107,1,175,App Movil
585,2025-07-21,4,117,2,100,Tarjeta
586,2025-07-21,4,110,1,90,Efectivo
587,2025-07-21,4,104,1,140,Tarjeta
588,2025-07-21,4,114,3,135,App Movil
589,2025-07-21,5,103,1,85,Efectivo
590,2025-07-21,5,118,1,40,App Movil
591,2025-07-21,5,117,2,100,Tarjeta
592,2025-07-21,5,105,1,150,Efectivo
593,2025-07-21,5,101,2,190,Efectivo
594,2025-07-22,1,114,1,45,App Movil
595,2025-07-22,1,103,2,170,Efectivo
596,2025-07-22,1,103,2,170,App Movil
597,2025-07-22,1,117,2,100,App Movil
598,2025-07-22,1,101,2,190,Efectivo
599,2025-07-22,1,102,3,330,Efectivo
600,2025-07-22,1,112,1,80,App Movil
601,2025-07-22,2,112,1,80,Efectivo
602,2025-07-22,2,104,2,280,App Movil
603,2025-07-22,3,111,1,75,Tarjeta
604,2025-07-22,3,112,2,160,Efectivo
605,2025-07-22,3,106,3,570,Efectivo
